TITLE,CATEGORY,TARGET
BlackBerry doubles down on security and IoT,t,1
"O.C. Measles Cases Jump to 21, Health Officials Call for All to Be Inoculated",m,3
RBI keeps policy rates unchanged,b,2
Sony Morpheus takes on Facebook's Oculus in virtual reality,t,1
"Crude oil futures retreat ahead of US inventories data, China slowdown",b,2
"TSX closes higher after Canadian data, U.S. Fed comment",b,2
Autism Rates Soar,m,3
"Toyota Says Goodbye, California, Hello, Texas!",b,2
"Film round-up: Tammy, 100-year-old-man and Ronan Keating's Goddess",e,0
Why Citigroup's Epic Failure Is Particularly Disturbing,b,2
the Life and Films of Paul Mazursky,e,0
British spy agency's hometown gets tagged with Banksy-style mural,e,0
Mila Kunis: 'I'll Be Having a Natural Birth',e,0
Rescuers target crumbling New York State Pavilion from 1964 World's Fair,e,0
"James Patterson: 'If Amazon Is the New American Way, Then Maybe It Has to Be  ...",b,2
"Monty Python promise smut, laughs, and astrophysics for reunion shows",e,0
Sbarro pizza chain files for bankruptcy again,b,2
Quartet of Newcomers Cast as the New 'Jem and the Holograms',e,0
"UberX to cut rates in NYC, and claims its drivers will make more money",b,2
"Taco Bell breakfast menu debuts: We review the waffle taco, more",b,2
'Gone Girl' Trailer: The Meaning Of Ben Affleck's Life Is She,e,0
"Morning MoneyBeat Asia: Treading Water, Waiting for a Wave",b,2
Hawk in Woodford County Tests Positive for West Nile,m,3
"MGMA: ICD-10 delay would increase time for testing, standards",m,3
"The Pipeline: Chobani ripoff allegation, Google Ventures' Kevin Rose protested  ...",b,2
"Game of Thrones Ep. 3 recap: Joffrey whodunit, march on Meereen",e,0
Who will Apple BEAT with Beats-Apple Deal: 4 things Apple could do,t,1
Kendall Jones Petition: Texas Cheerleader Angers Facebook With Hunting Photos,e,0
PRESS COLUMN: CEO compensation rises and income gap widens,b,2
Love keeps crowded 'Transcendence' together,e,0
Why Samsung's Graphene breakthrough is so important for flexible devices,t,1
Medicaid privatization underway statewide,m,3
Gov. Cuomo's plan to end HIV/AIDS crisis commands praise from Elton John's  ...,m,3
"Big, Dumb, Unsexy: Sex Tape, Reviewed",e,0
Gweneth Paltrow's fame weighed heavily on Chris Martin,e,0
High court refuses to reinstate New York big-soda ban,m,3
"Gasoline prices fall nationally, rise slightly in Denver",t,1
"MARKET SNAPSHOT: U.S. Stocks Gain As Coke, J&J Jump After Earnings",b,2
"Google I/O Kicks Off in San Francisco, Previews Android L Release",t,1
Astronomers spot asteroid with its own ring system,t,1
Lindsay Lohan Reveals Miscarriage on OWN Reality Show,e,0
China March Inflation Rises; PPI Extends Down Trend,b,2
Planet-like object named for Biden,t,1
E-cig sales to stay smokin' hot amid new FDA rules,m,3
"UPDATE 1-US new home sales rebound, inventories at 3-1/2 year high",b,2
"Gmail Interface Revamp Being Tested - Less Clutter, More Features",t,1
GBP/USD is up an above 1.6600 after strong retail sales report,b,2
"Dogs May Help Spot Human Prostate Cancers, Study Finds",m,3
'Moms' Night Out' Movie Releases May 9 with Perfect Mothers Day Message  ...,e,0
Adele Hints At Impending '25' Album Release In Her Latest Tweet,e,0
Merck Reports Interim Results From Ongoing C-WORTHy Trial - Quick Facts,m,3
Cory Monteith's Mother Speaks Out About Son's Tragic Death,e,0
"Galaxy S5 deluge: vs iPhone 6, Developer Edition, Mini leak",t,1
Mental Disorder Ruled Out For Pistorius,m,3
Why TGI Fridays' Endless Appetizer Deal Isn't As Great As It Seems,b,2
Xbox One launching in China in September,t,1
T-shirts spread message about autism awareness,m,3
Silver State Exchange board votes to oust Xerox,b,2
BBM For Windows Phone Coming In Q2,b,2
NBC cancels five series including 'Community' and 'Revolution',e,0
Fees in Energy Future Case Could Hit $270 Million,b,2
Hurricanes Katrina and Rita May Be Responsible for Up to Half of the Stillbirths  ...,m,3
Cherry Tree Blooms Years Early After International Space Station Trip,t,1
Life-saving information helps reduce spread of Ebola across West Africa,m,3
ECB monitors impact of anti-deflationary steps,b,2
French Montana's estranged wife gives Khloe Kardashian a warning,e,0
Facebook's 'Social Experiment' Triggers Public Outcry,t,1
Telefonica Wins Conditional EU Approval for E-Plus Deal,b,2
Harris family 'staged entrances at court to give impression of unity',e,0
Iran denies it summoned Facebook CEO to court,t,1
State Senate passes cell phone kill switch legislation,t,1
Samsung Launches Galaxy Tab S in 8.4-inch and 10.5-inch Versions,t,1
Rapper Khalifa arrested on pot charge in Texas,e,0
Garth Brooks Croke Park concerts: 160000 fans left heartbroken as permission  ...,e,0
Some elephant hunting tips for Warren Buffett,b,2
"Google Now rolls out to desktop versions of Chrome, and it's a two-way system",t,1
Ford recalls 692000 vehicles,t,1
Euro Mixed After Eurozone PMI Data,b,2
'The Bachelorette' Episode 9 Recap: And Then There Were Two,e,0
Credit card data stolen from P.F. Chang's customers,b,2
"Samsung Galaxy K Zoom Review: 10X The Zoom, But How Many Times The  ...",t,1
Thieves make off with US$6M in goods after raid at Samsung Brazil plant,t,1
Wall Street Kicks Off Week on a High Note,b,2
Preventing And Treating Lyme Disease,m,3
UN declares Crimea vote illegal,b,2
Blue Ivy Carter Fans Slam Karreuche Tran For Dissing Her Natural Hair,e,0
"Microsoft Eliminates 18000 Jobs, Nokia Devices No Longer Support Android",t,1
Facebook Experiment: Did They Use You Like a Guinea Pig?,t,1
US STOCKS-Futures point to lower open after record close,b,2
Future iPhones may use optical image stabilization to create 'super-resolution  ...,t,1
Obesity may affect cancer patients' outcomes,m,3
LA and Central Valley recorded to have worst air quality,t,1
White God wins Un Certain Regard honour at Cannes Film Festival,e,0
Federal health officials: Salmonella outbreak linked to Foster Farms chicken has  ...,m,3
Why Your Band Won't Break Out at SXSW,e,0
Johnny Depp subpoenaed in murder case to prove defendant insane,e,0
Obama to propose ending NSA's phone call sweep,b,2
"Groupon Profit Tops View, But Shares Down On Weak Q2 Outlook",b,2
"Yahoo, China news send US stocks higher at midday",b,2
"Google upgrades Glass with double the memory, bigger battery",t,1
Sony Xperia Z2 review: New flagship is another solid smartphone,t,1
West Africa Ebola outbreak toll increases; Mali tests negative,m,3
Michael Strahan Begins 'Good Morning America' Gig As Part-Time Contributor  ...,e,0
Housing Market Springs Into Shape as Contracts Surge,b,2
XCOM: Enemy Unknown Coming to Android & Amazon Appstore “SOON”,t,1
Paribas likely to face ban on dollar clearing,b,2
AOL Strikes Premium Deal With Miramax to Bring Full Length Films on The AOL  ...,e,0
NASA Working On “Swarmies” Robots,t,1
Ice Sheet Erosion Quickening,t,1
3D technology detects breast cancer earlier,m,3
"1 year after horrific garment factory collapse, Bangladeshi workers skeptical of  ...",b,2
Yahoo Preparing Bold Entry into Original TV Programming Business (Report),e,0
UN climate chief urges bold carbon-curbing steps,t,1
Kim Kardashian and Kanye West May Get Married This Week! (VIDEO),e,0
Don't Let Gluten-Free Become the Next Fat-Free,m,3
Colorado Governor Signs Groundbreaking Medication Bill Into Law: Gives  ...,m,3
"The Catch-Up: May 19th, 2014 – Report: Google Working on Twitch Purchase",t,1
"South Korean won falls ahead of Janet Yellen testimony, stocks rise",b,2
Google is offering data credit to Chromebook Pixel LTE owners,t,1
Crude oil prices beat $107 a barrel due to military conflict in Iraq,b,2
Teaching seniors to use the Internet reduces risk of depression,m,3
Netflix to increase subscription prices,t,1
Cops called to Selena Gomez's house party,e,0
Kim Kardashian Takes Her Blonde Wig For A Spin Around New York! Think This  ...,e,0
Connecticut unemployment rate dips as jobs added,b,2
Utah girl enters Google's Doodle contest,t,1
Significant decline in deaths after Massachusetts' health reform,m,3
Officials Take Back Report of MERS Spread in US,m,3
"My Word - March 5, 2014: E-cigarettes tell the same old stogie",m,3
Importance Of Olive Oil And Salad Combined,m,3
China's inflation slows in June,b,2
Red Cross suspends Ebola operations in southeast Guinea after threats,m,3
Amoebas ate woman's eyeballs,m,3
FDA Approves First Motorized Device That Allows Paraplegics to Walk,m,3
18% of US high school seniors try hookah,m,3
"FDA Approves Evzio, an Auto-Injecting Syringe for Opioid Overdose (VIDEO)",m,3
Pharrell to replace CeeLo Green as judge on The Voice,e,0
Charlotte jumps to No. 27 in fitness ranking,m,3
"Anthrax probe: CDC now recognizes pattern of agency safety problems, director  ...",m,3
Is Bank of America About to Announce Another Multibillion-Dollar Settlement?,b,2
"South African National HIV Prevalence, Incidence & Behaviour Survey, 2012",m,3
Kids: take your mark,m,3
Oil prices halt slide as turmoil in Libya threatens restoration of exports | The  ...,b,2
A new option for amputees: robotics,m,3
"VIDEO: Priceline Buys OpenTable, and More",b,2
"After ""Buffy"" and ""Avengers"":Cult director Joss Whedon released new movie  ...",e,0
Betrayed and neglected... so why did Bindi remain so loyal to her father Rolf  ...,e,0
Kim Kardashian admits she is only now aware that racism exists,e,0
Mystery New York restaurant received potentially-tainted meat: USDA,m,3
Samsung Galaxy Tab 4 vs. Nexus 7 Specs and Price Comparison in Australia,t,1
Maxim Hot 100 2014: Victoria's Secret Angel Candice Swanepoel Tops The List,e,0
Cost of cancer drugs double in a decade,m,3
Huge Water Reservoir within Earth,t,1
Jill Abramson to Graduates: I'm in Exactly the Same Boat As Many of You,e,0
"Rupture That Flooded University of California, Los Angeles Points US Pipe Woes",b,2
Pakistan to Set Up Polio Immunization Points at Airports,m,3
"Drought cuts wheat crop; Corn, soybeans good",b,2
Miley Cyrus Gives Up New Dog Moonie,e,0
"Khloe Kardashian, French Montana step out for dinner date",e,0
A Big Win For The Patent Reform Movement,t,1
Cases of Lyme disease is reported in Butler County,m,3
Interest rate hike and property downturn warning from Bank for International  ...,b,2
Top Commander Reiterates Army's Full Preparedness to Defend Iran,b,2
'Walking Dead' ends season 4 with a cliffhanger and fans react on Twitter,e,0
"Sony Xperia Z Price, Spec and Feature Review",t,1
Smartphone and tablet forecast for 2014 by Gartner,t,1
The New Michael Jackson Album You Didn't Ask For Is Coming May 13,e,0
Eminem & Rihanna Presale Tickets: QueenBeeTickets.com Announces Discount  ...,e,0
GM adds 971000 cars to ignition switch recall - 12 News KBMT and K-JAC  ...,b,2
Lea Michele Drives Late Cory Monteith's Range Rover,e,0
Euro zone yields hold near lows before ECB meeting,b,2
Ebola: Sierra Leone declares health emergency amid fear of global epidemic,m,3
Experts recruit London students for study on effects of mobile phones on  ...,m,3
Jobless claims in US drop to lowest since 2007,b,2
Netflix and Comcast Continue War of Words Over Internet Traffic,t,1
Affordable Care Act biggest expansion of health care in half a century,b,2
Emma Stone admits how much she loves co-star and boyfriend Andrew Garfield.,e,0
"Telstra brings Nokia Lumia 930, Lumia 635 to Australia",t,1
US Existing Home Sales Rebound,b,2
"Dear Google, please forget us. Love, Europe criminals",t,1
PRESS DIGEST- British Business - March 26,b,2
Survey Says Children Don't Know Story of Easter,e,0
ZARA Apologizes After Yellow Star Striped Pajamas Creates Firestorm,e,0
CFDA Awards or Bust,e,0
British American Tobacco results hurt by forex,b,2
"Microsoft Expected To Announce Major Layoffs, Including Xbox EU Marketing",t,1
'Disturbing picture' of climate change impact on oceans in latest IPCC report,t,1
Researchers Find Gene That Boosts Intelligence,m,3
"1 dead, 5 hurt in California awards party violence",e,0
Report: Bigger iPhones coming this fall from Apple (AAPL),t,1
UN: 50 new Ebola cases in 2 African nations,m,3
Doctors not able to reattach Wu-Tang Clan affiliated rapper Andre Johnson's penis,e,0
Time Warner rejects bid from Murdoch's Fox,b,2
Darden Announces Sale Of Red Lobster For $2.1B,b,2
Baby gorillas born at New York zoo,t,1
World's First Drinkable Sunscreen Introduced,m,3
Hewlett-Packard to cut at least 11K more jobs,b,2
Christina Aguilera confirms Gwen Stefani as new judge on 'The Voice',e,0
Novartis Determined To Counter Alzheimer's Disease,m,3
State water contractors get 5 percent: What does that really mean?,b,2
Aquino likely to tackle China...,b,2
'Alien: Isolation' Pre-Order DLC: 'Crew Expendable' Lets You Play As Ellen Ripley,e,0
Senators demand probe of VA deaths,m,3
"FOX's live 'Grease' casting: Joseph Gordon-Levitt, Katie Stevens and more",e,0
Kick Butts day to take over Montana,m,3
Toyota to pay US $1.2 billion for deadly defect coverup,t,1
"Saskatchewan Man's Illness Viral, But Not Ebola, Says UN Health Agency",m,3
Now you can make purchases via Facebook,t,1
"Amy Adams gives her first class seat to US serviceman, switches to coach",e,0
Medtronic in talks to buy Covidien,b,2
Anger builds over Facebook's emotion-manipulation study,t,1
Future Office for iPad update will let you print your documents,t,1
Sisi slashes fuel subsidies in controversial move,b,2
Uber wins early victory in battle with London cabbies,b,2
Burgers May Have Been Served with Hepatitis A in Missouri Restaurant,m,3
World No Tobacco Day: Top scientists warn WHO not to stub out e-cigarettes,m,3
Game of Thrones On-Screen Death Mastercut,e,0
Samsung Galaxy S5 Prime (Galaxy F) vs. Nokia Lumia 930 – Specifications  ...,t,1
Rupert Murdoch gets rejected with $80 billion bid for Time Warner,b,2
GM recalls 1.5 million vehicles for steering defect,t,1
Amazon to offer employees $5000 to quit,b,2
Health alert issued over flesh-eating bacteria in Florida,m,3
Board members resign after management changes at Mozilla,t,1
Instagram Shoes Are Coming Soon,t,1
Sebelius: Obamacare's Master of False Assurance,b,2
"Windows Phone 8.1 Update to bring native folder support, says Microsoft website",t,1
Picasso painting reveals hidden man (Update),e,0
"Tech Today: GoPro Goes, Google Devs Vs. Apple Devs, Twitter's Growth",t,1
"HTC One (M8) Case Deals on Amazon - Device Out of Stock, But Cases Aplenty  ...",t,1
Predicting Mars Cuisine: Grasshoppers with a Side of Fungi (Op-Ed),t,1
"California gunman, Elliot Rodger, email sent parents racing to stop killing spree",e,0
Distant Planet Kepler 186-f That Could Support Life,t,1
"Walters, Timberlake boost ABC in ratings",e,0
Australia Shares End Flat as Buying Wanes; BHP Lends Support,b,2
Peter Mayhew to Return as Chewbacca for Star Wars: Episode VII,e,0
"Do not pass GO, do not collect 20 billion dollars",b,2
"Stocks in the Spotlight – Alcatel Lucent SA (ADR) (ALU), Capstone Turbine  ...",b,2
PET scans may help identify recovery potential for vegetative patients,m,3
Farley Mowat dead at age 92,e,0
US Navy SEALs board tanker carrying oil from Libya rebel port,b,2
"Google developing 3-D depth-sensing tablets, report says",t,1
Samsung KQ prototype rumored to be the Galaxy S5 we all wanted with QHD  ...,t,1
Walmart's Profits Plunge 5% on Bad Weather,b,2
Two-week High for Gold on Iraq Turmoil,b,2
